                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.64244,                0.82988,                0.57849,                0.98259,                0.79364,                0.78842,                 0.8655,                0.65862,                0.79364,                0.78842,                 0.8602,                0.69032,                0.69147,                  1.341,                 1.1551,                 1.1794,              0.0016367,              0.0016367,              0.0016367
                     47,                0.62234,                0.78706,                 0.5891,                0.99124,                 0.7672,                0.79167,                0.87601,                0.66431,                0.81667,                0.85263,                0.88691,                0.70003,                 0.6632,                 1.4035,                 1.1084,                 1.1591,              0.0016361,              0.0016361,              0.0016361
                     48,                0.61879,                0.75821,                0.53437,                0.96314,                0.81127,                0.66667,                0.78546,                0.64137,                0.81127,                0.66667,                0.78414,                0.65701,                0.62946,                 1.2459,                 1.3078,                 1.1703,              0.0016354,              0.0016354,              0.0016354
                     49,                0.59034,                 0.7775,                0.50389,                0.96054,                0.73121,                0.64881,                0.68618,                0.56815,                0.73121,                0.64881,                0.68353,                0.58493,                0.61563,                 1.0203,                 1.4997,                 1.1524,              0.0016347,              0.0016347,              0.0016347
                     50,                   0.59,                0.73306,                0.51749,                0.96535,                0.74777,                0.75042,                0.74392,                0.54816,                0.74777,                0.75042,                0.74253,                0.57881,                0.63107,                 1.0309,                 1.1134,                 1.1317,               0.001634,               0.001634,               0.001634
                     51,                0.59674,                0.73054,                0.53826,                0.96374,                0.90077,                0.88095,                 0.9319,                0.73382,                0.90077,                0.88095,                 0.9319,                0.74623,                 0.6222,                 1.0941,                0.76984,                 1.1603,              0.0016333,              0.0016333,              0.0016333
                     52,                0.59258,                0.79479,                0.52899,                0.97052,                0.81256,                0.94569,                0.93277,                0.74095,                0.81256,                0.94569,                0.93277,                0.76251,                0.69947,                 1.3615,                 1.1722,                 1.2032,              0.0016326,              0.0016326,              0.0016326
                     53,                 0.5968,                0.84882,                0.51728,                  0.971,                 0.8768,                0.84841,                 0.9055,                0.73429,                 0.8768,                0.84841,                0.90497,                0.74775,                0.68126,                 1.3431,                0.97862,                 1.1843,              0.0016319,              0.0016319,              0.0016319
                     54,                0.58097,                0.76749,                0.52939,                0.98248,                0.85569,                0.86346,                0.86588,                0.70075,                0.85569,                0.86346,                0.85087,                0.73599,                0.64955,                 1.1564,                 1.0073,                 1.1994,              0.0016312,              0.0016312,              0.0016312
                     55,                 0.5842,                0.77068,                0.51984,                0.96271,                0.89887,                0.86265,                0.88916,                0.70743,                0.89887,                0.86265,                 0.8876,                 0.7208,                0.62472,                 1.4438,                 1.1538,                  1.166,              0.0016306,              0.0016306,              0.0016306
                     56,                0.61091,                0.93138,                0.54276,                0.98325,                0.89087,                0.77381,                0.86636,                0.69314,                0.89087,                0.77381,                0.86489,                0.68286,                0.67956,                 1.7476,                 1.3507,                 1.1984,              0.0016299,              0.0016299,              0.0016299
                     57,                0.56389,                0.71569,                0.48526,                0.95738,                0.88612,                0.87225,                0.93367,                0.79582,                0.88612,                0.87225,                0.92832,                 0.7821,                0.60589,                 1.1912,                0.79382,                  1.147,              0.0016292,              0.0016292,              0.0016292
                     58,                0.56286,                0.77957,                0.51019,                0.96855,                 0.8159,                0.89412,                0.89932,                0.75054,                 0.8159,                0.89412,                0.88461,                 0.7553,                 0.5736,                0.92916,                0.83394,                 1.0989,              0.0016285,              0.0016285,              0.0016285
                     59,                0.56818,                0.75318,                0.48142,                 0.9567,                0.80339,                0.89203,                0.88138,                 0.7022,                0.84292,                0.92927,                0.88817,                0.74748,                0.61033,                0.91056,                 0.8908,                 1.1223,              0.0016278,              0.0016278,              0.0016278
                     60,                0.58477,                0.76609,                0.49953,                 0.9589,                0.83874,                 0.9043,                0.95154,                0.75872,                0.83874,                 0.9043,                0.95154,                0.77337,                0.58654,                 1.1305,                0.76961,                 1.1161,              0.0016271,              0.0016271,              0.0016271
                     61,                0.55048,                0.72791,                0.46978,                0.94022,                0.93733,                0.94536,                0.97632,                0.77079,                0.93733,                0.94536,                0.97632,                0.78773,                0.58381,                0.94603,                0.63698,                 1.1221,              0.0016264,              0.0016264,              0.0016264
                     62,                 0.5831,                 0.7772,                0.46889,                0.95874,                0.76986,                0.95833,                0.92598,                0.73923,                0.76986,                0.95833,                0.92204,                0.77799,                0.59129,                0.89547,                0.57077,                 1.1337,              0.0016257,              0.0016257,              0.0016257
                     63,                0.56127,                0.68024,                0.47862,                0.95611,                0.89646,                   0.73,                0.87565,                0.70696,                0.87603,                0.81548,                0.89684,                0.73694,                0.64729,                0.93813,                0.66542,                 1.1392,              0.0016251,              0.0016251,              0.0016251
